brand,priority_tier,region,country,activity_name,activity_type,activity_status,start_date,end_date,discovery_date,channel_source,source_url,proof_screenshot,city_or_region,venue,online_offline,product_line,member_only,member_benefit,wecom_or_private_traffic_hook,entry_threshold,signup_flow,target_audience,core_mechanic,ugc_or_creator_mechanic,offer_or_incentive,partnership_or_ip,visual_keyword,engagement_signal,conversion_signal,reuse_score_for_insta360,replication_difficulty,insight_summary,recommendation_for_insta360,owner,review_status,last_updated,link_type,link_note
XPeng,P0,China,China,小鹏门店与试驾中心入口,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official store page,https://store.xpeng.com,,,,offline,showroom / test drive,no,,,public,,tech-savvy prospects,门店与试驾中心入口,,,,,,,5,medium,这是线索转化最清晰的场景之一。,影石可做试拍中心页和顾问分配。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
AITO,P0,China,China,问界 M8 亮相粤港澳大湾区车展,city_activation,completed,2025/06/01,2025/06/08,2026/06/09,public auto media coverage,https://auto.sina.com.cn/newcar/2025-06-01/detail-ineypvcm3774190.shtml,,Shenzhen,粤港澳大湾区车展,offline,premium family EV,no,,,public,,family EV buyers,车展亮相与线下咨询收口,,,,,,,4,medium,车展活动非常适合收口线索和意向试驾。,影石可参考大型展会做内容互动和线索收集。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
AITO,P0,China,China,问界 M8 累计交付突破 17 万辆,community_milestone,completed,2026/04/16,2026/04/16,2026/06/09,public finance media coverage,https://finance.sina.com.cn/stock/estate/integration/2026-04-16/doc-inhuskun1670373.shtml,,,,online,premium family EV,no,,,public,,existing owners; prospective buyers,里程碑增强社会证明,,,,,,,3,medium,交付里程碑对高单价产品的信任转化很关键。,影石可把用户参与里程碑转成传播事件。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
AITO,P0,China,China,鸿蒙智行预约试驾入口,test_drive_booking,ongoing,2026/06/09,2026/06/09,2026/06/09,official test-drive page,https://hima.auto/test-drive/,,,,online,vehicle test drive conversion,no,,,public,,family EV buyers,预约试驾与顾问收口,,,,,,,5,medium,试驾预约是最适合参考给影石的线索收口方式之一。,影石可做预约试拍、预约讲解、预约门店体验。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
AITO,P0,China,China,鸿蒙智行门店查询入口,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official store page,https://hima.auto/store-finder/,,,,offline,showroom / store network,no,,,public,,family EV buyers,门店查询与到店转化,,,,,,,4,medium,到店体验页是最基础但非常有效的转化工具。,影石可做城市体验地图。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
AITO,P0,China,China,鸿蒙智行品牌社区与小程序入口,community_operation,ongoing,2026/06/09,2026/06/09,2026/06/09,official homepage,https://hima.auto/,,,,online,community / private traffic,yes,,,public,,existing users; prospects,首页前置小程序与社群入口,,,,,,,4,medium,私域入口越前置，转化效率通常越高。,影石可把企微、会员和小程序入口前置到首页。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
ZEEKR,P0,China,China,极氪 9X 正式上市,product_launch,completed,2025/09/29,2025/09/29,2026/06/09,public auto media coverage,https://auto.sina.com.cn/newcar/x/2025-09-29/detail-infseqei1595177.shtml,,,,hybrid,premium SUV / smart EV,no,,,public,,premium EV buyers,高端技术旗舰发布,,,,,,,4,medium,高端定位和技术包装值得参考。,影石可对旗舰产品线建立更清晰的高端话语体系。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
ZEEKR,P0,China,China,极氪 9X 在广州车展交付破万,city_activation,completed,2025/11/21,2025/11/21,2026/06/09,public auto media coverage,https://auto.sina.com.cn/news/2025-11-21/detail-infyekye6960670.shtml,,Guangzhou,广州车展,offline,premium SUV / delivery milestone,no,,,public,,premium EV buyers,车展里程碑与交付证明,,,,,,,3,medium,车展+交付里程碑是典型的信任增强打法。,影石可把用户作品数、社群人数等节点做成展会传播点。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
ZEEKR,P0,China,China,极氪 007 GT 试驾预约,test_drive_booking,completed,2025/06/10,2025/06/10,2026/06/09,public auto media coverage,https://www.pcauto.com.cn/aichat/133970.html,,,,online,vehicle test drive conversion,no,,,public,,performance EV buyers,试驾预约与官方小程序引导,,,,,,,4,medium,线上引流到店动作非常直接。,影石可做看内容-立即预约试拍结构。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
ZEEKR,P0,China,China,极氪直营体验店体系扩张,store_experience,completed,2025/06/22,2025/06/22,2026/06/09,public auto media coverage,https://baike.pcauto.com.cn/792058/1550401.html,,,,offline,direct retail / service network,no,,,public,,premium EV buyers,直营体验店与交付体系,,,,,,,3,medium,门店体系本身也是品牌信任感的一部分。,影石可把门店、交付、售后和活动空间做联动。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
ZEEKR,P0,China,China,极氪上门试驾服务,test_drive_booking,completed,2025/06/23,2025/06/23,2026/06/09,public auto media coverage,https://www.pcauto.com.cn/hq/140905.html,,,,offline,home test drive / lead conversion,no,,,public,,premium EV buyers,上门试驾与深度体验,,,,,,,4,medium,上门体验会显著提高高客单产品的成交效率。,影石可给重点客户做上门试拍服务。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Xiaomi EV,P0,China,China,小米 YU7 正式发布,product_launch,completed,2025/06/26,2025/06/26,2026/06/09,official discover article,https://www.mi.com/global/discover/article?id=5173,,Beijing,,hybrid,electric vehicle / launch conversion,no,,,public,,technology users; Xiaomi fans,汽车新品发售与销售开启,,,,,,,5,medium,发售开启节奏适合参考到新品上线当天的转化设计。,影石可在发售日同步开放会员权益、预约试拍和礼包。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
Xiaomi EV,P0,China,Germany,Xiaomi EV opens Munich R&D center,brand_collab_offline_activation,completed,2025/09/25,2025/09/25,2026/06/09,official discover article,https://www.mi.com/global/discover/article?id=5474,,Munich,,offline,EV / global expansion,no,,,public,,global media; EV community,研发中心开业与技术背书,,,,,,,3,medium,这类活动偏品牌势能，但对国际化和技术信任有价值。,影石可把海外体验中心开业做成传播点。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
Xiaomi EV,P0,China,China,小米汽车销售中心网络扩张,store_experience,completed,2025/08/19,2025/08/19,2026/06/09,official discover article,https://www.mi.com/global/discover/article?id=4969,,,,offline,EV retail network,no,,,public,,EV buyers; Xiaomi fans,销售中心扩张与到店转化,,,,,,,4,medium,门店网络扩张说明流量最终还是要回到线下成交。,影石可优先建设高价值城市触点。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
Xiaomi EV,P0,China,China,小米汽车累计交付突破 30 万辆,community_milestone,completed,2025/11/18,2025/11/18,2026/06/09,official discover article,https://www.mi.com/global/discover/article?id=5369,,,,online,EV social proof / brand trust,no,,,public,,existing owners; prospective buyers,交付里程碑与信任转化,,,,,,,3,medium,交付和用户里程碑能显著提升品牌信任感。,影石可把重要用户量级做成传播节点。,codex-recover,seeded_with_inference,2026/06/09,detail,活动详情页
Xiaomi EV,P0,China,China,小米汽车人车家生态联动发布,product_launch,completed,2025/06/26,2025/06/26,2026/06/09,official global event page,https://www.mi.com/global/discover/,,Beijing,,hybrid,EV / ecosystem,no,,,public,,ecosystem shoppers; EV users,人车家生态联动,,,,,,,4,medium,生态用户池可以直接导入汽车新品。,影石可参考老用户池导入新产品线的发布链路。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
lululemon,P1,China,China,lululemon 2025 夏日乐挑战,community_operation,completed,2025/06/30,2025/08/31,2026/06/09,media coverage referencing store challenge,https://www.vogue.com.cn/fashion/brand_news/news_19257a0029a3476b.html,,China,161 家门店,offline,women's activewear / community,no,,,public,store challenge participation,young women; urban white-collar users,线上报名 + 门店挑战赛,check-in and social content,,,,,,5,medium,这是非常标准的线上引流到店活动结构。,影石可做城市门店拍摄挑战赛。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
lululemon,P1,China,China,lululemon 一起好状态 2025,community_operation,completed,2025/10/29,2025/11/30,2026/06/09,media coverage on city community activation,https://www.vogue.com.cn/fashion/brand_news/news_125158e7dd2109d1.html,,China,35 座城市门店与社区空间,offline,women's activewear / lifestyle,no,,,public,,community fitness users,城市社群活动与门店复访,,,,,,,5,medium,这类活动不仅拉新，也适合老用户复访和复购。,影石可做城市主题体验周。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
lululemon,P1,China,China,lululemon Scuba 天猫超级品牌日,brand_collab_offline_activation,completed,2025/09/16,2025/09/16,2026/06/09,marketing media report,https://www.brandstar.com.cn/news/7771,,,,online,women's activewear / youth lifestyle,yes,brand-day offers,,public,,Gen Z users; fashion-lifestyle buyers,品牌日与商品复购转化,,shopping incentives,,,,,4,medium,品牌日很适合做销量拉升和会员运营。,影石可以围绕年度爆款做品牌日。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
lululemon,P1,China,China,lululemon 热汗课程入口,community_operation,ongoing,2026/06/09,2026/06/09,2026/06/09,official content page,https://www.lululemon.cn/article-l-43.html,,,,offline,women's activewear / community,no,,,public,,yoga users; urban women,门店社群课与复访,,,,,,,5,medium,课程型活动对复访和社区沉淀特别有效。,影石可做固定频次的创作工作坊。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
lululemon,P1,China,China,lululemon 礼品卡,member_benefit,ongoing,2026/06/09,2026/06/09,2026/06/09,official giftcard page,https://www.lululemon.cn/giftcard,,,,online,gift card / repeat purchase,yes,,,public,,gifting buyers; repeat customers,礼品卡与送礼转化,,,,,,,3,medium,礼品卡属于基础复购工具，但很实用。,影石可做品牌礼卡、体验卡和课程卡。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Salomon,P1,China,China,Salomon TsaiGu Trail 2025,community_run,completed,2025/11/12,2025/11/16,2026/06/09,PR Newswire race release,https://www.prnewswire.com/news-releases/salomons-decade-long-investment-in-chinese-trail-running-culminates-in-dominant-tsaigu-trail-2025-victory-302612908.html,,,,offline,trail running / outdoor community,no,,,public,,trail runners; outdoor enthusiasts,垂类赛事与社群复购,,,,,,,5,medium,这是非常典型的垂类人群深耕型活动。,影石可在高重合运动圈层做年度赛事合作。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Salomon,P1,China,China,Salomon 成都太古里旗舰店重开,store_experience,completed,2025/12/09,2025/12/09,2026/06/09,Hypebeast retail coverage,https://hypebeast.cn/2025/12/salomon-chengdu-flagship-store-reopening,,Chengdu,太古里旗舰店,offline,outdoor lifestyle / footwear,no,,,public,,young urban outdoor users,旗舰店重开与到店体验,,,,,,,4,medium,旗舰店重开很适合做内容传播和门店引流。,影石可对核心城市体验点做升级开业活动。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Salomon,P1,China,China,Salomon 安福路概念店,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,SGB retail coverage,https://sgbonline.com/salomon-shanghai-anfu-road/,,Shanghai,安福路概念店,offline,outdoor lifestyle / footwear retail,no,,,public,,young urban outdoor users,概念店与城市社群,,,,,,,4,medium,概念店是年轻人和户外用户交汇的好场景。,影石可做主题店或联名店。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Salomon,P1,China,China,Salomon XT-Whisper × XSneaker 联名活动,brand_collab_offline_activation,completed,2025/09/01,2025/09/30,2026/06/09,Hypebeast collaboration coverage,https://hypebeast.cn/2025/9/salomon-xsneaker-xt-whisper,,,,offline,footwear collaboration / youth lifestyle,no,,,public,,young sneaker users,联名限量发售与排队热度,,,,,,,4,medium,联名限量能快速制造社交热度与排队效应。,影石可做联名配件和限定体验空间。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Salomon,P1,China,China,Salomon 101FF 独家发售活动,member_benefit,completed,2025/10/15,2025/10/31,2026/06/09,Hypebeast release coverage,https://hypebeast.cn/2025/10/salomon-101ff-exclusive-release,,,,online,footwear drop / repeat purchase,yes,,,public,,loyal Salomon followers,独家发售与老用户回流,,,,,,,4,medium,独家发售有利于制造稀缺和回访。,影石可为会员做限定发售。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
HOKA,P1,China,China,HOKA MAFATE HOUSE 三里屯限时体验空间,brand_collab_offline_activation,completed,2025/08/08,2025/08/17,2026/06/09,DoNews retail campaign coverage,https://www.donews.com/news/detail/8/5886769.html,,Beijing,三里屯,offline,running footwear / fashion crossover,no,,,public,,young runners; fashion-lifestyle users,快闪空间引流到店,,,,,,,5,medium,这种快闪空间非常适合引流、试用和社交传播。,影石可做运动记录主题快闪馆。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
HOKA,P1,China,China,HOKA 飞跑嘉年华 2025,community_run,completed,2025/09/14,2025/09/14,2026/06/09,Hypebeast event coverage,https://hypebeast.cn/2025/9/2025-hoka,,,,offline,running footwear / community,no,,,public,,runners; urban fitness users,跑者嘉年华与社群活动,,,,,,,4,medium,运动社群活动更能建立长期连接。,影石可加强与跑团、骑行俱乐部的固定合作。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
HOKA,P1,China,China,HOKA 全球首家品牌体验中心,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,Hypebeast store coverage,https://hypebeast.cn/2025/5/hoka-one-one-shanghai-flagship-inside-look,,Shanghai,,offline,running footwear / premium retail,no,,,public,,young runners; premium sports users,体验中心与试穿转化,,,,,,,5,medium,体验中心是线下转化效率最高的形态之一。,影石可设计一站式内容体验空间。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
HOKA,P1,China,China,HOKA LAB 飞跑研究所,member_service_activity,ongoing,2026/06/09,2026/06/09,2026/06/09,Hypebeast store coverage,https://hypebeast.cn/2025/5/hoka-one-one-shanghai-flagship-inside-look,,,,offline,runner service / loyalty,yes,,,public,,runners; data-minded sports users,体测服务与会员粘性,,,,,,,4,medium,服务型空间更容易建立长期关系。,影石可把课程和售后服务嵌入门店。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
HOKA,P1,China,China,HOKA 中国限定与联名陈列,brand_collab_offline_activation,ongoing,2026/06/09,2026/06/09,2026/06/09,Hypebeast store coverage,https://hypebeast.cn/2025/5/hoka-one-one-shanghai-flagship-inside-look,,,,offline,retail drop / lifestyle,no,,,public,,young runners; trend users,限定陈列与到店复购,,,,,,,4,medium,限定货盘能提高门店复访率。,影石可做城市限定壳、配件和作品卡。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
On,P1,China,China,On 深圳首家旗舰店开业,store_experience,completed,2026/03/05,2026/03/05,2026/06/09,PRNasia retail release,https://www.prnasia.com/story/524203-1.shtml,,Shenzhen,深圳旗舰店,offline,running footwear / premium retail,no,,,public,,urban runners; premium sports users,旗舰店开业与到店体验,,,,,,,4,medium,旗舰店是品牌形象和线下转化的双重抓手。,影石可在旗舰体验点加入内容创作空间。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
On,P1,China,China,On SquadRace 中国首发社区跑,community_run,completed,2026/04/12,2026/04/12,2026/06/09,PRNasia community race release,https://www.prnasia.com/story/528722-1.shtml,,,,offline,running footwear / community,no,,,public,,running community; young professionals,团队赛制社群跑,,,,,,,4,medium,团队机制比单次报名更容易沉淀社群关系。,影石可尝试组队试拍赛。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
On,P1,China,China,On 门店查询入口,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official store locator,https://www.on.com/zh-cn/stores,,,,offline,running footwear / retail,no,,,public,,urban runners; premium sports users,门店查询与到店转化,,,,,,,4,medium,基础入口不花哨，但转化效率很高。,影石可强化城市体验地图。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
On,P1,China,China,On 广州天环店开业跑,community_run,completed,2025/11/21,2025/11/21,2026/06/09,PRNasia retail release,https://www.prnasia.com/story/513138-1.shtml,,Guangzhou,天环店,offline,running footwear / community,no,,,public,,urban runners; premium sports users,门店开业跑与社群拉新,,,,,,,5,medium,这是非常典型的门店社群转化动作。,影石可把门店开业和社群活动做绑定。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
On,P1,China,China,On 成都太古里中国首家旗舰店开幕,store_experience,completed,2025/04/27,2025/04/27,2026/06/09,Hypebeast retail coverage,https://hypebeast.cn/2025/4/on-first-china-flaship-store-chengdu-opening,,Chengdu,太古里旗舰店,offline,running footwear / flagship retail,no,,,public,,young premium runners,中国首家旗舰店开幕,,,,,,,4,medium,旗舰店是长期线下经营的重要抓手。,影石可做城市文化主题体验店。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Nike,P1,China,China,Nike Membership 官方会员计划,member_benefit,completed,2025/06/09,2025/06/09,2026/06/09,official membership page,https://www.nike.com/membership,,,,online,sportswear / membership,yes,,,public,,young sports users; sneaker users,会员专属权益与复购机制,,,,,,,5,medium,Nike Membership 的核心就是持续复购与专属感。,影石可把会员权益做得更具稀缺性。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Nike,P1,China,China,Nike 会员店内专属服务,member_service_activity,completed,2025/06/09,2025/06/09,2026/06/09,official in-store services page,https://www.nike.com/membership/in-store-services,,,,offline,sportswear / store services,yes,,,public,,young sports users; sneaker members,店内专属服务与复访,,,,,,,4,medium,服务型权益可以显著提高老用户回访。,影石可做会员到店服务。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Nike,P1,China,China,Nike 会员专属活动,member_service_activity,completed,2025/06/09,2025/06/09,2026/06/09,official help article,https://www.nike.com/help/a/member-benefits,,,,hybrid,sportswear / member retention,yes,,,public,,young sports users; runners,专属活动与长期留存,,,,,,,4,medium,这套权益结构对复购和留存非常实用。,影石可快速复制这类轻权益体系。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Nike,P1,China,China,Nike Member Rewards & Offers,member_benefit,ongoing,2026/06/09,2026/06/09,2026/06/09,official membership rewards page,https://www.nike.com/membership/member-rewards/,,,,online,sportswear / member rewards,yes,,,public,,young sports users; sneaker members,奖励页与回访复购,,,,,,,4,medium,轻权益体系对日常复购很有帮助。,影石可从简单券包开始。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Nike,P1,China,China,Nike By You 定制服务,member_service_activity,ongoing,2026/06/09,2026/06/09,2026/06/09,official member benefits help page,https://www.nike.com/help/a/member-benefits,,,,hybrid,customization / member retention,yes,,,public,,sneaker users; personalization-focused buyers,定制服务与会员专属,,,,,,,4,medium,定制服务兼顾复购和分享传播。,影石可把个性化服务做成会员权益。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
New Balance,P1,China,China,New Balance 204L 上海限时空间,brand_collab_offline_activation,completed,2025/08/29,2025/09/07,2026/06/09,Hypebeast retail pop-up coverage,https://hypebeast.cn/2025/8/new-balance-204l-shanghai-pop-up,,Shanghai,,offline,lifestyle footwear / youth fashion,no,,,public,,young fashion users; sneaker users,限时空间与年轻人打卡,,,,,,,4,medium,New Balance 的限时空间打法很适合品牌氛围营造。,影石可做年轻向城市快闪记录空间。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
New Balance,P1,China,China,New Balance Grey Days 2025,brand_collab_offline_activation,completed,2025/05/02,2025/05/29,2026/06/09,Hypebeast campaign coverage,https://hypebeast.cn/2025/5/new-balance-grey-days-2025-release-info,,,,hybrid,lifestyle footwear / youth campaign,no,,,public,,young sneaker users; fashion-lifestyle users,年度主题活动与复购机制,,,,,,,4,medium,年度主题活动非常适合做内容和交易双收。,影石可做年度记录主题月。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
New Balance,P1,China,China,New Balance 1000 Grey Metallic 发售,brand_collab_offline_activation,completed,2025/07/01,2025/09/30,2026/06/09,Hypebeast release coverage,https://hypebeast.cn/2025/7/new-balance-1000-grey-metallic-m1000f-release-info,,,,online,lifestyle footwear / youth drop,no,,,public,,young sneaker users; trend followers,新品发售与社交讨论,,,,,,,3,medium,这类发售更偏种草，但也能带动复购。,影石可做限定配件周。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
New Balance,P1,China,China,New Balance 中国官网入口,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official homepage,https://www.newbalance.com.cn/,,,,online,sportswear retail / homepage conversion,no,,,public,,young sneaker users; lifestyle buyers,官网首页承接转化,,,,,,,3,medium,官网首页虽然基础，但对转化承接很关键。,影石可在首页前置活动和试拍入口。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
New Balance,P1,China,China,New Balance 会员与复购活动入口,member_benefit,ongoing,2026/06/09,2026/06/09,2026/06/09,official homepage,https://www.newbalance.com.cn/,,,,online,sportswear membership,yes,,,public,,repeat buyers; lifestyle buyers,会员机制与品牌活动承接,,,,,,,3,medium,虽然入口不显性，但品牌首页是活动与复购的承接总入口。,影石可在会员入口聚合权益与活动。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Arc'teryx,P1,China,China,始祖鸟北京 ARC’LOUNGE 出发地,store_experience,completed,2025/08/18,2025/08/18,2026/06/09,business media coverage,https://www.eeo.com.cn/2025/0818/745382.shtml,,Beijing,北京三里屯,offline,premium outdoor / retail experience,no,,,public,,premium outdoor users,高端门店与身份认同,,,,,,,4,medium,这类门店不仅卖货，更在运营身份认同。,影石可把旗舰体验点做成内容与社群空间。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Arc'teryx,P1,China,China,Arc'teryx 门店查询入口,store_experience,ongoing,2026/06/09,2026/06/09,2026/06/09,official store locator,https://arcteryx.com/cn/zh/store-locator,,,,offline,premium outdoor retail,no,,,public,,premium outdoor users,门店查询与高客单转化,,,,,,,4,medium,这类入口是高客单产品线下转化的基础。,影石可在高端产品线里加强门店入口。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Arc'teryx,P1,China,China,Arc'teryx Explore 内容入口,community_operation,ongoing,2026/06/09,2026/06/09,2026/06/09,official explore page,https://arcteryx.com/cn/zh/explore,,,,online,outdoor content / community,yes,,,public,,outdoor enthusiasts; aspirational users,内容阵地与身份运营,,,,,,,3,medium,内容阵地更偏长期运营和品牌认同。,影石可打造品牌内容志。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Arc'teryx,P1,China,China,始祖鸟蛇根洞世界级攀岩场地启用,city_activation,ongoing,2026/06/09,2026/06/09,2026/06/09,SGB community climbing coverage,https://sgbonline.com/arcteryx-opens-chinas-first-world-class-climbing-site-at-shegeng-cave/,,China,蛇根洞攀岩地,offline,outdoor climbing / community,no,,,public,,climbers; outdoor enthusiasts,场地活动与专业社群,,,,,,,4,medium,这种场地级合作非常适合建立专业权威。,影石可做运动基地合作试拍。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
Arc'teryx,P1,China,China,始祖鸟山地课堂 × 小红书第二现场,community_operation,ongoing,2026/06/09,2026/06/09,2026/06/09,award case coverage,https://winner.roifestival.com/cn/winners/detail/98aa5nij,,,,online,community education / xiaohongshu,no,,,public,,outdoor beginners; climbers,小红书放大线下专业课堂,,,,,,,5,medium,始祖鸟把小红书用成线下课堂的放大器，非常值得重点研究。,影石可把线下体验课和社媒内容阵地联动起来。,codex-recover,seeded_with_inference,2026/06/09,reference,公开参考页
lululemon,P1,China,China,lululemon 门店社群课入口,community_operation,ongoing,2026/06/09,2026/06/09,2026/06/09,official content page,https://www.lululemon.cn/article-l-43.html,,,,offline,women's activewear / community,no,,,public,,young women; yoga users,门店课程与社群报名,,,,,,,5,medium,课程型活动对复访和社区沉淀特别有效。,影石可做固定频次的创作工作坊。,codex-recover,seeded,2026/06/09,entry,转化入口页
lululemon,P1,China,China,lululemon 618 活动页,member_benefit,completed,2026/06/01,2026/06/18,2026/06/09,official campaign page,https://www.lululemon.cn/active-1121.html,,,,online,women's activewear / ecommerce,yes,,,public,,price-sensitive members,品牌大促与复购刺激,,campaign offers,,,,,4,medium,购物节是复购刺激最强的短周期节点。,影石可建立大促活动页模板。,codex-recover,seeded_with_inference,2026/06/09,detail,官方活动页
lululemon,P1,China,China,lululemon 城市门店社群活动周,community_operation,completed,2025/11/01,2025/11/30,2026/06/09,media coverage on city community activation,https://www.vogue.com.cn/fashion/brand_news/news_125158e7dd2109d1.html,,,,offline,women's activewear / lifestyle,no,,,public,,community fitness users,城市社群活动周与门店复访,,,,,,,5,medium,一月一主题式社群活动适合做复访。,影石可做月度门店主题体验周。,codex-recover,seeded,2026/06/09,reference,公开参考页
Nike,P1,China,China,Nike 专属活动与免邮权益,member_service_activity,completed,2025/06/09,2025/06/09,2026/06/09,official help article,https://www.nike.com/help/a/member-benefits,,,,hybrid,sportswear / member retention,yes,,,public,,young sports users; runners,专属活动与长期留存,,,,,,,4,medium,会员活动+生日礼+免邮非常适合长期留存。,影石可做活动优先权和免运费权益。,codex-recover,seeded_with_inference,2026/06/09,entry,转化入口页
Arc'teryx,P1,China,China,始祖鸟专业场地合作,city_activation,ongoing,2026/06/09,2026/06/09,2026/06/09,SGB community climbing coverage,https://sgbonline.com/arcteryx-opens-chinas-first-world-class-climbing-site-at-shegeng-cave/,,,,offline,outdoor climbing / community,no,,,public,,climbers; outdoor enthusiasts,场地活动与专业社群,,,,,,,4,medium,场地级合作非常适合建立专业权威。,影石可做运动基地合作试拍。,codex-recover,seeded,2026/06/09,reference,公开参考页
Huawei,P0,China,China,华为发布 HUAWEI Pura 80 系列，让影像远超想象,product_launch,completed,2025/06/11,2025/06/11,2026/06/15,official news article,https://consumer.huawei.com/cn/press/news/2025/huawei-launches-huawei-pura80-series/,,上海,发布会 / 华为商城,hybrid,imaging flagship / smartphone,no,发布会后承接商城购买与线下体验,发布会热度可承接到门店顾问与社群,公开观看,发布会传播 -> 产品页 -> 商城购买/门店体验,mobile imaging users; creators,影像旗舰发布 + 产品体验,影像话题传播,新品首发关注与到店试用,,影像旗舰,发布会传播与媒体关注,产品页与商城购买链路清晰,5,medium,发布会把影像旗舰叙事、华为商城购买和线下体验链路一起打通。,影石可把新品发布、试拍预约和商城转化放进同一条发布链路。,codex-refresh,seeded,2026/06/15,detail,活动详情页
Huawei,P1,China,China,首款鸿蒙 AI 智能手表 HUAWEI WATCH 5 发布，重绘智慧未来新图景,product_launch,completed,2025/06/11,2025/06/11,2026/06/15,official news article,https://consumer.huawei.com/cn/press/news/2025/huawei-launches-huawei-watch5/,,上海,发布会 / 华为商城,hybrid,wearable / health ecosystem,no,新品发布后可承接商城与门店体验,穿戴体验可延伸到门店顾问与会员服务,公开观看,发布会传播 -> 产品页 -> 商城购买/门店试戴,sports users; wearable users,鸿蒙 AI 穿戴新品发布,健康生活方式话题传播,新品首发关注与试戴,,智能手表,新品关注与媒体讨论,商城与门店试戴入口明确,4,medium,穿戴新品把健康场景叙事和零售体验一起做，适合拉动到店试用。,影石可把轻量新品做成场景演示加门店上手体验的组合。,codex-refresh,seeded,2026/06/15,detail,活动详情页
Huawei,P0,China,China,2025 华为影像大赛全球正式开赛：让每个人感受到影像的力量,ugc_creator_competition,active,2025/06/11,2025/12/31,2026/06/15,official news article,https://consumer.huawei.com/cn/press/news/2025/xmage-awards-2025-open-for-entry/,,全球 / 中国区,官网投稿入口,hybrid,mobile imaging / creator community,no,投稿带动持续内容参与与品牌关系沉淀,投稿与评选可承接创作者社群,公开报名投稿,官网报名投稿 -> 社群传播 -> 评选与展映,mobile creators; photography lovers,UGC 征集 + 赛事评选,作品投稿与二次传播,赛事荣誉与作品曝光,,影像大赛,投稿与话题扩散,创作者线索沉淀与后续复访,5,medium,官方赛事把投稿、内容传播和品牌社区沉淀组合成了长期留资入口。,影石可做年度创作征集，并把投稿页与会员/社群承接打通。,codex-refresh,seeded,2026/06/15,detail,活动详情页
